sample.id	cell.type	sample.type	qc.seq
ERR1562197	Unknown	Single Cell	fail
ERR1562198	Unknown	Single Cell	fail
ERR1562199	Endoderm	Single Cell	pass
ERR1562200	Endoderm	Single Cell	pass
ERR1562201	Endoderm	Single Cell	pass
ERR1562202	Unknown	Single Cell	fail
ERR1562203	Unknown	Single Cell	fail
ERR1562204	Endoderm	Single Cell	fail
ERR1562205	Unknown	Single Cell	fail
ERR1562206	Endoderm	Single Cell	pass
ERR1562207	Endoderm	Single Cell	pass
ERR1562208	Endoderm	Single Cell	pass
ERR1562209	Endoderm	Single Cell	pass
ERR1562210	Endoderm	Single Cell	fail
ERR1562211	Unknown	Single Cell	fail
ERR1562212	Unknown	Single Cell	fail
ERR1562213	Unknown	Single Cell	pass
ERR1562214	Endoderm	Single Cell	pass
ERR1562215	Unknown	Single Cell	fail
ERR1562216	Unknown	Single Cell	fail
ERR1562217	Endoderm	Single Cell	pass
ERR1562218	Endoderm	Single Cell	pass
ERR1562219	Endoderm	Single Cell	pass
ERR1562220	Endoderm	Single Cell	pass
ERR1562221	Unknown	Single Cell	fail
ERR1562222	Endoderm	Single Cell	pass
ERR1562223	Unknown	Single Cell	fail
ERR1562224	Endoderm	Single Cell	pass
ERR1562225	Endoderm	Single Cell	pass
ERR1562226	Endoderm	Single Cell	pass
ERR1562227	Endoderm	Single Cell	pass
ERR1562228	Endoderm	Single Cell	pass
ERR1562229	Endoderm	Single Cell	pass
ERR1562230	Endoderm	Single Cell	pass
ERR1562231	Unknown	Single Cell	fail
ERR1562232	Endoderm	Single Cell	pass
ERR1562233	Endoderm	Single Cell	pass
ERR1562234	Unknown	Single Cell	fail
ERR1562235	Unknown	Single Cell	fail
ERR1562236	Unknown	Single Cell	fail
ERR1562237	Unknown	Single Cell	pass
ERR1562238	Endoderm	Single Cell	pass
ERR1562239	Unknown	Single Cell	fail
ERR1562240	Unknown	Single Cell	fail
ERR1562241	Unknown	Single Cell	fail
ERR1562242	Endoderm	Single Cell	pass
ERR1562243	Endoderm	Single Cell	pass
ERR1562244	Endoderm	Single Cell	pass
ERR1562245	Endoderm	Single Cell	pass
ERR1562246	Endoderm	Single Cell	pass
ERR1562247	Endoderm	Single Cell	pass
ERR1562248	Endoderm	Single Cell	pass
ERR1562249	Unknown	Single Cell	fail
ERR1562250	Unknown	Single Cell	fail
ERR1562251	Endoderm	Single Cell	pass
ERR1562252	Unknown	Single Cell	fail
ERR1562253	Endoderm	Single Cell	pass
ERR1562254	Unknown	Single Cell	fail
ERR1562255	Endoderm	Single Cell	pass
ERR1562256	Endoderm	Single Cell	pass
ERR1562257	Unknown	Single Cell	fail
ERR1562258	Endoderm	Single Cell	pass
ERR1562259	Endoderm	Single Cell	pass
ERR1562260	Endoderm	Single Cell	pass
ERR1562261	Endoderm	Single Cell	pass
ERR1562262	Unknown	Single Cell	fail
ERR1562263	Unknown	Single Cell	fail
ERR1562264	Endoderm	Single Cell	fail
ERR1562265	Unknown	Single Cell	fail
ERR1562266	Endoderm	Single Cell	pass
ERR1562267	Endoderm	Single Cell	pass
ERR1562268	Unknown	Single Cell	fail
ERR1562269	Endoderm	Single Cell	pass
ERR1562270	Endoderm	Single Cell	pass
ERR1562271	Endoderm	Single Cell	pass
ERR1562272	Endoderm	Single Cell	pass
ERR1562273	Endoderm	Single Cell	pass
ERR1562274	Unknown	Single Cell	fail
