sample.id	cell.type	sample.type	qc.seq
ERR1562137	iPSC	Single Cell	pass
ERR1562138	iPSC	Single Cell	pass
ERR1562139	iPSC	Single Cell	pass
ERR1562140	iPSC	Single Cell	pass
ERR1562141	iPSC	Single Cell	pass
ERR1562142	iPSC	Single Cell	pass
ERR1562143	iPSC	Single Cell	pass
ERR1562144	iPSC	Single Cell	pass
ERR1562145	iPSC	Single Cell	pass
ERR1562146	iPSC	Single Cell	pass
ERR1562155	iPSC	Single Cell	pass
ERR1562156	iPSC	Single Cell	pass
ERR1562157	iPSC	Single Cell	pass
ERR1562158	iPSC	Single Cell	pass
ERR1562159	iPSC	Single Cell	pass
ERR1562160	iPSC	Single Cell	pass
ERR1562161	iPSC	Single Cell	pass
ERR1562162	iPSC	Single Cell	pass
ERR1562163	iPSC	Single Cell	pass
ERR1562164	iPSC	Single Cell	pass
ERR1562165	iPSC	Single Cell	pass
ERR1562166	iPSC	Single Cell	pass
ERR1562167	iPSC	Single Cell	pass
ERR1562168	iPSC	Single Cell	pass
ERR1562169	iPSC	Single Cell	pass
ERR1562170	iPSC	Single Cell	pass
ERR1562171	iPSC	Single Cell	pass
ERR1562172	iPSC	Single Cell	pass
ERR1562173	iPSC	Single Cell	pass
ERR1562174	iPSC	Single Cell	pass
ERR1562175	iPSC	Single Cell	pass
ERR1562176	iPSC	Single Cell	pass
ERR1562177	iPSC	Single Cell	pass
ERR1562180	Endoderm	Single Cell	pass
ERR1562183	Endoderm	Single Cell	pass
ERR1562184	Endoderm	Single Cell	pass
ERR1562188	Endoderm	Single Cell	pass
ERR1562189	Endoderm	Single Cell	pass
ERR1562190	Endoderm	Single Cell	pass
ERR1562194	Endoderm	Single Cell	pass
ERR1562195	Endoderm	Single Cell	pass
ERR1562199	Endoderm	Single Cell	pass
ERR1562200	Endoderm	Single Cell	pass
ERR1562201	Endoderm	Single Cell	pass
ERR1562206	Endoderm	Single Cell	pass
ERR1562207	Endoderm	Single Cell	pass
ERR1562208	Endoderm	Single Cell	pass
ERR1562209	Endoderm	Single Cell	pass
ERR1562214	Endoderm	Single Cell	pass
ERR1562217	Endoderm	Single Cell	pass
ERR1562218	Endoderm	Single Cell	pass
ERR1562219	Endoderm	Single Cell	pass
ERR1562220	Endoderm	Single Cell	pass
ERR1562222	Endoderm	Single Cell	pass
ERR1562224	Endoderm	Single Cell	pass
ERR1562225	Endoderm	Single Cell	pass
ERR1562226	Endoderm	Single Cell	pass
ERR1562227	Endoderm	Single Cell	pass
ERR1562228	Endoderm	Single Cell	pass
ERR1562229	Endoderm	Single Cell	pass
ERR1562230	Endoderm	Single Cell	pass
ERR1562232	Endoderm	Single Cell	pass
ERR1562233	Endoderm	Single Cell	pass
ERR1562238	Endoderm	Single Cell	pass
ERR1562242	Endoderm	Single Cell	pass
ERR1562243	Endoderm	Single Cell	pass
ERR1562244	Endoderm	Single Cell	pass
ERR1562245	Endoderm	Single Cell	pass
ERR1562246	Endoderm	Single Cell	pass
ERR1562247	Endoderm	Single Cell	pass
ERR1562248	Endoderm	Single Cell	pass
ERR1562251	Endoderm	Single Cell	pass
ERR1562253	Endoderm	Single Cell	pass
ERR1562255	Endoderm	Single Cell	pass
ERR1562256	Endoderm	Single Cell	pass
ERR1562258	Endoderm	Single Cell	pass
ERR1562259	Endoderm	Single Cell	pass
ERR1562260	Endoderm	Single Cell	pass
ERR1562261	Endoderm	Single Cell	pass
ERR1562266	Endoderm	Single Cell	pass
ERR1562267	Endoderm	Single Cell	pass
ERR1562269	Endoderm	Single Cell	pass
ERR1562270	Endoderm	Single Cell	pass
ERR1562271	Endoderm	Single Cell	pass
ERR1562272	Endoderm	Single Cell	pass
ERR1562273	Endoderm	Single Cell	pass
